ref_date,geo,noc_desc,job_char,predicted_vacancies
01-01-2023,Alberta,"Trades, transport and equipment operators and related occupations",Part-time,6177.2017
01-01-2023,Alberta,"Natural resources, agriculture and related production occupations","Type of work, all types",6309.984
01-01-2023,Alberta,"Natural resources, agriculture and related production occupations",Full-time,7115.752
01-01-2023,Alberta,Occupations in manufacturing and utilities,"Type of work, all types",4303.017
01-01-2023,Alberta,Occupations in manufacturing and utilities,Full-time,5345.694
01-01-2023,British Columbia,"Total, all occupations","Type of work, all types",5777.355
01-01-2023,British Columbia,"Total, all occupations",Full-time,6070.2144
01-01-2023,British Columbia,"Total, all occupations",Part-time,6322.063
01-01-2023,British Columbia,Legislative and senior management occupations,"Type of work, all types",6528.845
01-01-2023,British Columbia,Legislative and senior management occupations,Full-time,7403.581
01-01-2023,British Columbia,"Business, finance and administration occupations","Type of work, all types",4305.238
01-01-2023,British Columbia,"Business, finance and administration occupations",Full-time,5341.466
01-01-2023,British Columbia,"Business, finance and administration occupations",Part-time,5793.459
01-01-2023,British Columbia,Natural and applied sciences and related occupations,"Type of work, all types",6100.045
01-01-2023,British Columbia,Natural and applied sciences and related occupations,Full-time,6405.36
01-01-2023,British Columbia,Health occupations,"Type of work, all types",6665.3535
01-01-2023,British Columbia,Health occupations,Full-time,7545.4814
01-01-2023,British Columbia,Health occupations,Part-time,4313.265
01-01-2023,British Columbia,"Occupations in education, law and social, community and government services","Type of work, all types",5345.1714
01-01-2023,British Columbia,"Occupations in education, law and social, community and government services",Full-time,5800.5493
01-01-2023,British Columbia,"Occupations in education, law and social, community and government services",Part-time,6109.9966
01-01-2023,British Columbia,"Occupations in art, culture, recreation and sport","Type of work, all types",6428.5273
01-01-2023,British Columbia,"Occupations in art, culture, recreation and sport",Full-time,6702.6445
01-01-2023,British Columbia,"Occupations in art, culture, recreation and sport",Part-time,7581.968
01-01-2023,British Columbia,Sales and service occupations,"Type of work, all types",4313.0186
01-01-2023,British Columbia,Sales and service occupations,Full-time,5343.8433
01-01-2023,British Columbia,Sales and service occupations,Part-time,5800.2183
01-01-2023,British Columbia,"Trades, transport and equipment operators and related occupations","Type of work, all types",6110.916
01-01-2023,British Columbia,"Trades, transport and equipment operators and related occupations",Full-time,6432.4
01-01-2023,British Columbia,"Trades, transport and equipment operators and related occupations",Part-time,6710.3687
01-01-2023,British Columbia,"Natural resources, agriculture and related production occupations","Type of work, all types",7591.014
