ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-04,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",Full-time,546.56024
2023-01-04,Newfoundland and Labrador,Occupations in manufacturing and utilities,Full-time,505.23172
2023-01-04,Prince Edward Island,"Business, finance and administration occupations",Full-time,506.05408
2023-01-04,Prince Edward Island,Natural and applied sciences and related occupations,Full-time,514.88904
2023-01-04,Prince Edward Island,Health occupations,Full-time,553.7293
2023-01-04,Prince Edward Island,Health occupations,Part-time,509.70612
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services",Full-time,518.7662
2023-01-04,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,534.0357
2023-01-04,Prince Edward Island,Sales and service occupations,Full-time,524.18195
2023-01-04,Prince Edward Island,Sales and service occupations,Part-time,523.61566
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,532.19965
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,872.30597
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,Part-time,858.9678
2023-01-04,Nova Scotia,"Business, finance and administration occupations",Full-time,856.2851
2023-01-04,Nova Scotia,"Business, finance and administration occupations",Part-time,841.9416
2023-01-04,Nova Scotia,Natural and applied sciences and related occupations,Full-time,886.2311
2023-01-04,Nova Scotia,Health occupations,Full-time,873.2198
2023-01-04,Nova Scotia,Health occupations,Part-time,870.2709
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,851.37115
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,614.5686
2023-01-04,Nova Scotia,Sales and service occupations,Full-time,611.41925
2023-01-04,Nova Scotia,Sales and service occupations,Part-time,600.61633
2023-01-04,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-04,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,541.6053
2023-01-04,Nova Scotia,Occupations in manufacturing and utilities,Full-time,501.95248
2023-01-04,New Brunswick,"Business, finance and administration occupations",Full-time,499.97833
2023-01-04,New Brunswick,"Business, finance and administration occupations",Part-time,508.09384
2023-01-04,New Brunswick,Natural and applied sciences and related occupations,Full-time,560.74536
2023-01-04,New Brunswick,Health occupations,Full-time,526.5641
2023-01-04,New Brunswick,Health occupations,Part-time,526.80695
2023-01-04,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,540.0001
2023-01-04,New Brunswick,"Occupations in education, law and social, community and government services",Part-time,556.05225
2023-01-04,New Brunswick,Sales and service occupations,Full-time,539.59814
2023-01-04,New Brunswick,Sales and service occupations,Part-time,533.89764
2023-01-04,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-04,New Brunswick,"Trades, transport and equipment operators and related occupations",Part-time,566.0798
2023-01-04,New Brunswick,"Natural resources, agriculture and related production occupations",Full-time,548.9231
2023-01-04,New Brunswick,Occupations in manufacturing and utilities,Full-time,543.4128
2023-01-04,Quebec,Legislative and senior management occupations,Full-time,
2023-01-04,Quebec,"Business, finance and administration occupations",Full-time,650.2994
2023-01-04,Quebec,"Business, finance and administration occupations",Part-time,530.8893
2023-01-04,Quebec,Natural and applied sciences and related occupations,Full-time,555.5424
2023-01-04,Quebec,Natural and applied sciences and related occupations,Part-time,596.867
2023-01-04,Quebec,Health occupations,Full-time,551.56024
2023-01-04,Quebec,Health occupations,Part-time,547.4129
2023-01-04,Quebec,"Occupations in education, law and social, community and government services",Full-time,576.41296
2023-01-04,Quebec,"Occupations in education, law and social, community and government services",Part-time,
2023-01-04,Quebec,"Occupations in art, culture, recreation and sport",Full-time,457.2258
2023-01-04,Quebec,"Occupations in art, culture, recreation and sport",Part-time,441.45758
2023-01-04,Quebec,Sales and service occupations,Full-time,438.28183
2023-01-04,Quebec,Sales and service occupations,Part-time,436.61374
2023-01-04,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,477.2426
2023-01-04,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,482.71683
2023-01-04,Quebec,"Natural resources, agriculture and related production occupations",Full-time,471.24472
2023-01-04,Quebec,Occupations in manufacturing and utilities,Full-time,
2023-01-04,Ontario,Legislative and senior management occupations,Full-time,557.81854
2023-01-04,Ontario,"Business, finance and administration occupations",Full-time,509.17557
2023-01-04,Ontario,"Business, finance and administration occupations",Part-time,515.421
2023-01-04,Ontario,Natural and applied sciences and related occupations,Full-time,507.59665
2023-01-04,Ontario,Health occupations,Full-time,569.0827
2023-01-04,Ontario,Health occupations,Part-time,577.82007
2023-01-04,Ontario,"Occupations in education, law and social, community and government services",Full-time,576.33356
